dataset,policy,system,n_seeds,final_novel_mean,final_novel_std,final_orig_mean,final_orig_std,to_10_mean,to_10_std,to_10_n_reached,to_30_mean,to_30_std,to_30_n_reached,to_50_mean,to_50_std,to_50_n_reached,to_70_mean,to_70_std,to_70_n_reached,to_90_mean,to_90_std,to_90_n_reached
clinc150,oracle,online_linear,3,0.09888888888888887,0.006849348892187756,0.8300000000000001,0.018142950880897693,991.5,7.5,2,,,0,,,0,,,0,,,0
clinc150,oracle,river_logreg,3,0.9177777777777778,0.08564929929156341,0.0,0.0,44.0,2.160246899469287,3,64.0,15.297058540778355,3,85.33333333333333,18.208667044996883,3,89.0,13.140268896284683,3,99.33333333333333,10.656244908763854,3
clinc150,oracle,static_knn,3,0.0,0.0,0.8108333333333334,0.010069204977995449,,,0,,,0,,,0,,,0,,,0
clinc150,oracle,static_linear,3,0.0,0.0,0.9,0.0177951304200522,,,0,,,0,,,0,,,0,,,0
clinc150,oracle,substrate,3,0.8844444444444445,0.02377881617670298,0.8033333333333332,0.008249579113843036,36.0,2.449489742783178,3,36.0,2.449489742783178,3,43.666666666666664,13.021349989749739,3,72.66666666666667,18.803073034893938,3,163.0,0.0,1
clinc150,random10,a_gem,3,0.0,0.0,0.8866666666666667,0.017360555546666354,,,0,,,0,,,0,,,0,,,0
clinc150,random10,ewc,3,0.0,0.0,0.8941666666666667,0.017118865486811782,,,0,,,0,,,0,,,0,,,0
clinc150,random10,knn_lm,3,0.4055555555555556,0.05057691856329352,0.8666666666666667,0.01532064692570852,24.333333333333332,3.2998316455372216,3,59.0,2.943920288775949,3,,,0,,,0,,,0
clinc150,random10,lwf,3,0.0,0.0,0.8891666666666667,0.018856180831641232,,,0,,,0,,,0,,,0,,,0
clinc150,random10,online_linear,3,0.0,0.0,0.8850000000000001,0.015942605391424135,,,0,,,0,,,0,,,0,,,0
clinc150,random10,river_logreg,3,0.3988888888888889,0.3543416778920566,0.0,0.0,5.333333333333333,2.0548046676563256,3,39.5,0.5,2,53.0,0.0,1,66.0,0.0,1,,,0
clinc150,random10,static_knn,3,0.0,0.0,0.8108333333333334,0.010069204977995449,,,0,,,0,,,0,,,0,,,0
clinc150,random10,static_linear,3,0.0,0.0,0.9,0.0177951304200522,,,0,,,0,,,0,,,0,,,0
clinc150,random10,substrate,3,0.6366666666666666,0.0524933858267454,0.8066666666666666,0.011242281302693367,11.0,1.632993161855452,3,23.333333333333332,5.2493385826745405,3,36.666666666666664,6.236095644623236,3,,,0,,,0
clinc150,random50,a_gem,3,0.0,0.0,0.8516666666666667,0.021826334756181322,,,0,,,0,,,0,,,0,,,0
clinc150,random50,ewc,3,0.0,0.0,0.8816666666666667,0.015456030825826186,,,0,,,0,,,0,,,0,,,0
clinc150,random50,knn_lm,3,0.7355555555555556,0.037151674438445546,0.8691666666666666,0.01649915822768608,33.666666666666664,8.379870059984356,3,70.33333333333333,8.259674462242579,3,100.66666666666667,10.96458946893235,3,163.5,5.5,2,,,0
clinc150,random50,lwf,3,0.0,0.0,0.8716666666666666,0.017118865486811758,,,0,,,0,,,0,,,0,,,0
clinc150,random50,online_linear,3,0.0,0.0,0.8441666666666667,0.016499158227686123,,,0,,,0,,,0,,,0,,,0
clinc150,random50,river_logreg,3,0.9522222222222222,0.034246744460938776,0.0,0.0,22.0,2.160246899469287,3,64.33333333333333,2.494438257849294,3,75.33333333333333,9.030811456096044,3,86.66666666666667,7.363574011458175,3,92.0,11.430952132988164,3
clinc150,random50,static_knn,3,0.0,0.0,0.8108333333333334,0.010069204977995449,,,0,,,0,,,0,,,0,,,0
clinc150,random50,static_linear,3,0.0,0.0,0.9,0.0177951304200522,,,0,,,0,,,0,,,0,,,0
clinc150,random50,substrate,3,0.8288888888888889,0.004157397096415488,0.8033333333333333,0.010069204977995471,22.0,0.0,3,29.0,9.899494936611665,3,42.333333333333336,6.128258770283412,3,75.66666666666667,14.38363267359428,3,,,0
